0.000000,0.900000
0.010000,0.895257
0.020000,0.890550
0.030000,0.885878
0.040000,0.881243
0.050000,0.876644
0.060000,0.872081
0.070000,0.867555
0.080000,0.863066
0.090000,0.858613
0.100000,0.854198
0.110000,0.849819
0.120000,0.845477
0.130000,0.841173
0.140000,0.836906
0.150000,0.832676
0.160000,0.828483
0.170000,0.824328
0.180000,0.820211
0.190000,0.816130
0.200000,0.812087
0.210000,0.808082
0.220000,0.804114
0.230000,0.800183
0.240000,0.796290
0.250000,0.792434
0.260000,0.788616
0.270000,0.784834
0.280000,0.781090
0.290000,0.777383
0.300000,0.773713
0.310000,0.770080
0.320000,0.766484
0.330000,0.762925
0.340000,0.759402
0.350000,0.755917
0.360000,0.752467
0.370000,0.749054
0.380000,0.745678
0.390000,0.742338
0.400000,0.739033
0.410000,0.735765
0.420000,0.732532
0.430000,0.729336
0.440000,0.726174
0.450000,0.723048
0.460000,0.719958
0.470000,0.716902
0.480000,0.713881
0.490000,0.710895
0.500000,0.707944
0.510000,0.705027
0.520000,0.702145
0.530000,0.699297
0.540000,0.696482
0.550000,0.693702
0.560000,0.690955
0.570000,0.688241
0.580000,0.685561
0.590000,0.682914
0.600000,0.680299
0.610000,0.677718
0.620000,0.675169
0.630000,0.672652
0.640000,0.670167
0.650000,0.667715
0.660000,0.665294
0.670000,0.662905
0.680000,0.660547
0.690000,0.658220
0.700000,0.655925
0.710000,0.653660
0.720000,0.651426
0.730000,0.649223
0.740000,0.647049
0.750000,0.644906
0.760000,0.642793
0.770000,0.640709
0.780000,0.638655
0.790000,0.636630
0.800000,0.634635
0.810000,0.632668
0.820000,0.630730
0.830000,0.628821
0.840000,0.626940
0.850000,0.625087
0.860000,0.623262
0.870000,0.621465
0.880000,0.619695
0.890000,0.617953
0.900000,0.616239
0.910000,0.614551
0.920000,0.612890
0.930000,0.611256
0.940000,0.609648
0.950000,0.608067
0.960000,0.606512
0.970000,0.604983
0.980000,0.603479
0.990000,0.602002
1.000000,0.600550
1.010000,0.599123
1.020000,0.597721
1.030000,0.596344
1.040000,0.594992
1.050000,0.593664
1.060000,0.592361
1.070000,0.591082
1.080000,0.589828
1.090000,0.588597
1.100000,0.587390
1.110000,0.586207
1.120000,0.585047
1.130000,0.583910
1.140000,0.582797
1.150000,0.581706
1.160000,0.580639
1.170000,0.579594
1.180000,0.578571
1.190000,0.577571
1.200000,0.576594
1.210000,0.575638
1.220000,0.574704
1.230000,0.573792
1.240000,0.572902
1.250000,0.572033
1.260000,0.571186
1.270000,0.570360
1.280000,0.569555
1.290000,0.568771
1.300000,0.568008
1.310000,0.567266
1.320000,0.566544
1.330000,0.565843
1.340000,0.565162
1.350000,0.564501
1.360000,0.563860
1.370000,0.563240
1.380000,0.562639
1.390000,0.562058
1.400000,0.561496
1.410000,0.560954
1.420000,0.560431
1.430000,0.559928
1.440000,0.559444
1.450000,0.558979
1.460000,0.558532
1.470000,0.558105
1.480000,0.557696
1.490000,0.557306
1.500000,0.556934
1.510000,0.556581
1.520000,0.556246
1.530000,0.555930
1.540000,0.555631
1.550000,0.555351
1.560000,0.555088
1.570000,0.554843
1.580000,0.554616
1.590000,0.554407
1.600000,0.554215
1.610000,0.554041
1.620000,0.553884
1.630000,0.553744
1.640000,0.553622
1.650000,0.553516
1.660000,0.553428
1.670000,0.553357
1.680000,0.553302
1.690000,0.553264
1.700000,0.553244
1.710000,0.553239
1.720000,0.553252
1.730000,0.553280
1.740000,0.553326
1.750000,0.553387
1.760000,0.553465
1.770000,0.553559
1.780000,0.553670
1.790000,0.553796
1.800000,0.553938
1.810000,0.554097
1.820000,0.554271
1.830000,0.554461
1.840000,0.554667
1.850000,0.554888
1.860000,0.555126
1.870000,0.555379
1.880000,0.555647
1.890000,0.555931
1.900000,0.556230
1.910000,0.556545
1.920000,0.556875
